educ,delta,p,transition,age,effect,cc,rate_effect,cc_total
basic,-0.006715999999999998,0.012817599999999998,HD,83.25,-1.334586471286678,0.008963082741161326,0.6924266070508835,0.0010600875489773535
basic,-0.0068594,0.013215399999999999,HD,83.5,-1.2801103914245606,0.00878078921893763,0.6924266070508835,0.0010385272110055624
basic,-0.007005299999999999,0.01362735,HD,83.75,-1.2270518533809114,0.008595866348489297,0.6924266070508835,0.001016655893051174
basic,-0.007153399999999999,0.0140541,HD,84,-1.1754005840438235,0.008408110537899086,0.6924266070508835,9.944495157585948e-4
basic,-0.007303800000000001,0.014496100000000001,HD,84.25,-1.1251452998149878,0.00821783624078871,0.6924266070508835,9.719452703910024e-4
basic,-0.0074564,0.014953999999999999,HD,84.5,-1.0762745322806468,0.008025133422497416,0.6924266070508835,9.491537973874877e-4
basic,-0.0076112,0.015428400000000002,HD,84.75,-1.0287764715614915,0.007830223480348824,0.6924266070508835,9.261012819962434e-4
basic,-0.007767999999999999,0.01592,HD,85,-0.9826388961860784,0.007633138945573456,0.6924266070508835,9.027915717721145e-4
basic,-0.007926899999999999,0.01642935,HD,85.25,-0.9378488774964056,0.007434234267026256,0.6924266070508835,8.792665883205046e-4
basic,-0.008087800000000001,0.0169573,HD,85.5,-0.894393428119145,0.007233675167942022,0.6924266070508835,8.555459321675788e-4
basic,-0.008250400000000001,0.0175045,HD,85.75,-0.8522588077999916,0.007031476067873052,0.6924266070508835,8.316313087520006e-4
basic,-0.008414999999999999,0.0180717,HD,86,-0.8114310863628268,0.006828192591743187,0.6924266070508835,8.075884333059816e-4
basic,-0.0085811,0.01865975,HD,86.25,-0.7718957298488535,0.006623714447405996,0.6924266070508835,7.834042612850766e-4
basic,-0.0087488,0.0192694,HD,86.5,-0.7336377830726063,0.006418450236545617,0.6924266070508835,7.591271190933093e-4
basic,-0.0089178,0.0199016,HD,86.75,-0.696641968979857,0.006212513750968569,0.6924266070508835,7.347704651891975e-4
basic,-0.009088100000000002,0.02055715,HD,87,-0.6608923174869565,0.006006255470553211,0.6924266070508835,7.103757517567664e-4
basic,-0.009259400000000001,0.021237,HD,87.25,-0.6263726703843044,0.005799835104156429,0.6924266070508835,6.85961867985766e-4
basic,-0.009431600000000002,0.0219421,HD,87.5,-0.5930662516816672,0.005593563659360813,0.6924266070508835,6.615655975671945e-4
basic,-0.009604400000000003,0.022673600000000002,HD,87.75,-0.5609559663828135,0.005387645483527096,0.6924266070508835,6.372111092049495e-4
basic,-0.0097777,0.02343235,HD,88,-0.5300240666766154,0.005182416316743942,0.6924266070508835,6.129381117690664e-4
basic,-0.0099512,0.0242195,HD,88.25,-0.5002525625573725,0.004978113300520925,0.6924266070508835,5.887746526143339e-4
basic,-0.010124500000000002,0.02503625,HD,88.5,-0.4716229023163364,0.004774946074501749,0.6924266070508835,5.647455263769819e-4
basic,-0.010297500000000001,0.02588375,HD,88.75,-0.4441161171895874,0.004573285716759776,0.6924266070508835,5.408946214441456e-4
basic,-0.010469700000000002,0.026763250000000002,HD,89,-0.41771281599136073,0.00437332786958475,0.6924266070508835,5.172450769479072e-4
basic,-0.010640900000000002,0.02767595,HD,89.25,-0.3923930807247862,0.0041754155326843775,0.6924266070508835,4.93837460372685e-4
basic,-0.0108107,0.02862325,HD,89.5,-0.36813662722914836,0.003979814635986154,0.6924266070508835,4.7070322395574815e-4
basic,-0.010978600000000005,0.0296065,HD,89.75,-0.34492275579446885,0.0037867689667651573,0.6924266070508835,4.4787120106418393e-4
basic,-0.011144299999999996,0.03062715,HD,90,-0.32273033723372785,0.0035966036972338317,0.6924266070508835,4.253798506773012e-4
basic,-0.011307099999999997,0.03168665,HD,90.25,-0.30153774402726585,0.003409517425490697,0.6924266070508835,4.0325266151851916e-4
basic,-0.011466800000000003,0.0327867,HD,90.5,-0.28132308923779176,0.003225875599671911,0.6924266070508835,3.8153285610738016e-4
basic,-0.011622499999999997,0.03392875,HD,90.75,-0.2620639626428964,0.0030458384058170626,0.6924266070508835,3.602393800712973e-4
basic,-0.011774,0.035114599999999996,HD,91,-0.2437376474608758,0.0028697670612043515,0.6924266070508835,3.3941495553502975e-4
basic,-0.011920399999999998,0.0363459,HD,91.25,-0.22632102941810164,0.0026978371990755384,0.6924266070508835,3.190803551075285e-4
basic,-0.012061100000000005,0.03762455,HD,91.5,-0.2097906554401087,0.002530306074328696,0.6924266070508835,2.992660050073432e-4
basic,-0.0121953,0.03895235,HD,91.75,-0.19412275845010965,0.002367385276126622,0.6924266070508835,2.7999693044549297e-4
basic,-0.012322400000000004,0.0403314,HD,92,-0.179293252951882,0.0022093231801742714,0.6924266070508835,2.6130250747482647e-4
basic,-0.012441299999999995,0.041763549999999997,HD,92.25,-0.16527770684407347,0.0020562695341591703,0.6924266070508835,2.432004471511957e-4
